Characteristic,Level,Overall,No caesarean,Caesarean
"Maternal age, years",,29.08 (6.79),28.99 (6.79),30.79 (6.45)
Children ever born (parity),,3.86 (2.50),3.91 (2.50),3.06 (2.28)
"BMI, kg/m^2",,22.56 (4.47),22.38 (4.32),25.50 (5.77)
Education,Higher,"1,791 (10.3%)","1,444 (8.8%)",347 (36.9%)
Education,No/primary,"8,655 (57.3%)","8,514 (59.5%)",141 (18.0%)
Education,Secondary,"5,547 (32.5%)","5,140 (31.8%)",407 (45.1%)
Wealth,Middle,"3,079 (19.9%)","2,966 (20.4%)",113 (12.1%)
Wealth,Poor,"7,330 (46.6%)","7,231 (48.5%)",99 (11.7%)
Wealth,Rich,"5,584 (33.5%)","4,901 (31.1%)",683 (76.2%)
Residence,Rural,"9,813 (61.4%)","9,537 (63.2%)",276 (30.2%)
Residence,Urban,"6,180 (38.6%)","5,561 (36.8%)",619 (69.8%)
Multiple gestation,Multiple gestation,658 (4.0%),546 (3.6%),112 (12.3%)
Multiple gestation,Singleton,"15,335 (96.0%)","14,552 (96.4%)",783 (87.7%)
Prior caesarean,No,"15,070 (94.5%)","15,048 (99.7%)",22 (2.3%)
Prior caesarean,Yes,923 (5.5%),50 (0.3%),873 (97.7%)
Delivery sector,Home,"8,504 (56.3%)","8,504 (59.4%)",0 (0.0%)
Delivery sector,Private/other facility,"2,468 (14.0%)","2,028 (12.1%)",440 (47.4%)
Delivery sector,Public facility,"5,021 (29.8%)","4,566 (28.5%)",455 (52.6%)
ANC content score,0-1 components,"6,346 (39.6%)","6,201 (40.9%)",145 (15.5%)
ANC content score,2-3 components,"1,447 (9.3%)","1,390 (9.5%)",57 (6.3%)
ANC content score,4 components,"8,200 (51.1%)","7,507 (49.6%)",693 (78.2%)
Early ANC,No,"7,501 (48.0%)","7,045 (47.8%)",456 (51.9%)
Early ANC,Unknown,"5,773 (35.8%)","5,638 (37.0%)",135 (14.2%)
Early ANC,Yes,"2,719 (16.2%)","2,415 (15.2%)",304 (33.9%)
ANC 4 or more visits,No,"6,301 (40.1%)","6,204 (41.7%)",97 (10.4%)
ANC 4 or more visits,Unknown,"2,336 (14.0%)","2,184 (13.8%)",152 (16.0%)
ANC 4 or more visits,Yes,"7,356 (46.0%)","6,710 (44.4%)",646 (73.6%)
ANC 8 or more visits,No,"11,233 (71.4%)","10,842 (73.0%)",391 (43.9%)
ANC 8 or more visits,Unknown,"2,336 (14.0%)","2,184 (13.8%)",152 (16.0%)
ANC 8 or more visits,Yes,"2,424 (14.6%)","2,072 (13.2%)",352 (40.1%)
Iron use in pregnancy,No,"4,649 (29.6%)","4,580 (30.8%)",69 (7.3%)
Iron use in pregnancy,Unknown,"1,983 (12.1%)","1,866 (12.0%)",117 (12.5%)
Iron use in pregnancy,Yes,"9,361 (58.3%)","8,652 (57.1%)",709 (80.3%)
SP/Fansidar in pregnancy,No,"5,115 (32.2%)","4,996 (33.3%)",119 (12.4%)
SP/Fansidar in pregnancy,Unknown,"2,059 (12.5%)","1,936 (12.4%)",123 (13.2%)
SP/Fansidar in pregnancy,Yes,"8,819 (55.3%)","8,166 (54.3%)",653 (74.4%)
